,Country Code,year,pib,total_medals
78,KOR,1968,0.0002298363667753184,2
79,MEX,1968,0.0011434027234810335,9
80,NOR,1968,0.00038866616916427967,17
81,NZL,1968,0.00019293312784296064,3
82,PAK,1968,0.00030541213461982215,1
83,POL,1968,0.00445883479621947,18
84,ROU,1968,0.00445883479621947,18
85,SWE,1968,0.0012104962116724414,12
86,TUN,1968,3.703610727099004e-05,2
87,TUR,1968,0.0006771972636682363,2
88,UGA,1968,3.0067105544156567e-05,2
89,USA,1968,0.03703807840421102,117
90,VEN,1968,0.0003837332872318297,1
91,ARG,1972,0.0066475532113442,1
92,AUS,1972,0.002034967120554355,18
93,AUT,1972,0.0008564313472581866,8
94,BEL,1972,0.0014519559727714125,2
95,BRA,1972,0.0066475532113442,2
96,CAN,1972,0.004449446023325375,6
97,COL,1972,0.00033015166825922345,3
98,CUB,1972,0.0003090738417028244,8
99,ESP,1972,0.0023137284003779944,2
100,ETH,1972,0.0066475532113442,2
101,FIN,1972,0.0005688294995364878,13
102,FRA,1972,0.007988452525456104,18
103,GBR,1972,0.006670454576589683,20
104,GHA,1972,7.248795406815055e-05,1
105,HUN,1972,0.0066475532113442,36
106,IND,1972,0.0027984397251313684,1
107,ITA,1972,0.005699324423837332,24
108,JAM,1972,6.299895256300141e-05,1
109,JPN,1972,0.012762132789016905,32
110,KEN,1972,7.212386583184002e-05,9
111,KOR,1972,0.00041627204291069266,1
112,LBN,1972,0.0066475532113442,1
113,MEX,1972,0.0017660582448498958,1
114,NOR,1972,0.0006716393889778749,17
115,NZL,1972,0.0003653714990355085,3
116,PAK,1972,0.0003593841510487203,1
117,POL,1972,0.0066475532113442,24
118,PRK,1972,0.0066475532113442,5
119,ROU,1972,0.0066475532113442,18
120,SWE,1972,0.0019136301902978408,21
121,TUN,1972,7.724493199450099e-05,1
122,TUR,1972,0.0008010208048495442,1
123,UGA,1972,4.789733886959853e-05,2
124,USA,1972,0.050269901323906276,103
125,AUS,1976,0.004119073322301967,6
126,AUT,1976,0.0016780050141891637,8
127,BEL,1976,0.002784708643201353,6
128,BRA,1976,0.01119911708618568,3
129,CAN,1976,0.008136941100130328,14
130,CUB,1976,0.000531344134863292,13
131,ESP,1976,0.004647694820557932,3
132,FIN,1976,0.0012412631714137684,13
133,FRA,1976,0.01462480038346463,10
134,GBR,1976,0.009133148372064456,17
135,HUN,1976,0.01119911708618568,26
136,ITA,1976,0.008822713838272472,17
137,JAM,1976,0.00010588106019454074,2
138,JPN,1976,0.023530852359133006,25
139,KOR,1976,0.0011647270767360285,6
140,LIE,1976,0.0,2
141,MEX,1976,0.0034829177829311837,2
142,NOR,1976,0.0014021456013845936,10
143,NZL,1976,0.0005240818850161209,4
144,PAK,1976,0.0005069135892381712,1
145,POL,1976,0.01119911708618568,27
146,PRK,1976,0.01119911708618568,2
147,ROU,1976,0.01119911708618568,29
148,SWE,1976,0.0035020278005456493,8
149,THA,1976,0.0006569612991768072,1
150,TTO,1976,8.757749294424589e-05,1
151,USA,1976,0.07363135471156776,108
152,VEN,1976,0.0012243611052234955,1
153,AUS,1980,0.0058850784262695615,9
154,AUT,1980,0.0032149474929169825,13
155,BEL,1980,0.004974829918420721,1
156,BRA,1980,0.018524735925195775,6
157,CAN,1980,0.010790497412417473,2
158,CUB,1980,0.0007720456976629189,20
159,ESP,1980,0.00913913387125169,9
160,ETH,1980,0.018524735925195775,4
161,FIN,1980,0.0020980312194439524,18
162,FRA,1980,0.027556277756255087,15
163,GBR,1980,0.022196852557370222,23
164,GUY,1980,1.2999926959562272e-05,1
165,HUN,1980,0.018524735925195775,38
166,IND,1980,0.0073135630001084535,1
167,IRL,1980,0.0008441764788366831,3
168,ITA,1980,0.01874980427302647,19
169,JAM,1980,9.461258788282372e-05,3
170,JPN,1980,0.04438404736422168,1
171,LBN,1980,0.018524735925195775,1
172,LIE,1980,1.0307231258174006e-05,4
173,MEX,1980,0.008070329651843636,4
174,NOR,1980,0.0025223403147952095,10
175,POL,1980,0.018524735925195775,33
176,PRK,1980,0.018524735925195775,5
177,ROU,1980,0.018524735925195775,28
178,SWE,1980,0.00557479443751529,17
179,UGA,1980,3.821315157832503e-05,1
180,USA,1980,0.11230734298159407,12
181,VEN,1980,0.0023131032450588777,1
182,AUS,1984,0.007596338745502465,26
183,AUT,1984,0.0026617287499069906,4
184,BEL,1984,0.0032656804412663893,5
185,BRA,1984,0.018641821889010066,8
186,CAN,1984,0.01401155394213011,55
187,CHN,1984,0.012321663224323468,32
188,CIV,1984,0.00025822711407275665,1
189,CMR,1984,0.00027671411720796746,1
190,COL,1984,0.001492982946315323,1
191,DOM,1984,0.0004450379512184571,1
192,EGY,1984,0.0013246642314169053,1
193,ESP,1984,0.006754492450657007,8
194,FIN,1984,0.0020682977880357232,25
195,FRA,1984,0.02084996961531042,34
196,GBR,1984,0.018129913031175705,40
197,IRL,1984,0.0007796621659835134,1
198,ISL,1984,0.00010188720189741289,1
199,ITA,1984,0.017202242445000748,35
200,JAM,1984,8.259129448340315e-05,3
201,JPN,1984,0.052892385686366894,34
202,KEN,1984,0.00023266827711538874,3
203,KOR,1984,0.0038223444602969573,19
204,LIE,1984,9.046260623920338e-06,2
205,MAR,1984,0.0005720324739139312,2
206,MEX,1984,0.00723122659609991,6
207,NOR,1984,0.0024287286223843565,13
208,NZL,1984,0.0008409578403216236,13
209,PAK,1984,0.0012138376995332334,1
210,PER,1984,0.0007888090705038699,1
211,ROU,1984,0.018641821889010066,58
212,SWE,1984,0.004281891690959553,29
213,SYR,1984,0.0007438423959938684,1
214,THA,1984,0.001632314974764702,1
215,TUR,1984,0.0023453795433986953,3
216,USA,1984,0.15870406317129082,189
217,VEN,1984,0.0023426334630526017,3
218,ARG,1988,0.0049787091571247945,2
219,AUS,1988,0.009272282140964653,16
220,AUT,1988,0.005230735154071167,11
221,BEL,1988,0.006369114018255585,2
222,BRA,1988,0.027042672350030803,8
223,CAN,1988,0.020012539123058545,18
224,CHI,1988,0.027042672350030803,1
225,CHN,1988,0.016021279603134545,30
226,COL,1988,0.0015306972113887677,1
227,DJI,1988,4.847013090647858e-06,1
228,ESP,1988,0.014775801086045471,5
229,FIN,1988,0.004276295188414159,11
230,FRA,1988,0.0400392089620846,21
231,GBR,1988,0.035765358416208794,26
232,HUN,1988,0.027042672350030803,24
233,ITA,1988,0.035037599312337284,19
234,JAM,1988,0.00013977726182658873,2
235,JPN,1988,0.12285858020137415,16
236,KEN,1988,0.0003177308756363386,9
237,KOR,1988,0.007835034748344,35
238,LIE,1988,3.495630434984108e-05,1
239,MAR,1988,0.0009997397493453468,3
240,MEX,1988,0.007128252438858941,2
241,NOR,1988,0.003994892240126501,11
242,NZL,1988,0.0017651467303990561,17
243,PAK,1988,0.0015016160836081034,1
244,PER,1988,0.0005961973452568122,1
245,POL,1988,0.027042672350030803,18
246,ROU,1988,0.00157833893803355,26
247,SEN,1988,0.00024159073884749392,1
248,SUR,1988,3.492652101382689e-05,1
249,SWE,1988,0.008125740452027805,19
250,THA,1988,0.002413370510994551,1
251,TUR,1988,0.0035615065028545083,2
252,USA,1988,0.2058287478559516,108
253,ARG,1992,0.008982373047176277,2
254,AUS,1992,0.012785113526602375,30
255,AUT,1992,0.007657626624630691,24
256,BEL,1992,0.009218334927056643,3
257,BRA,1992,0.015343029329568322,3
258,CAN,1992,0.02335409744454781,29
259,CHN,1992,0.01937403946591334,64
260,COL,1992,0.0022847194203811524,1
261,CUB,1992,0.0008574630436789869,31
262,ESP,1992,0.024790004752929043,27
263,EST,1992,0.032547306039569006,3
264,ETH,1992,0.0004017584032833619,3
265,FIN,1992,0.004412836330471702,12
266,FRA,1992,0.055079597733968116,42
267,GBR,1992,0.04636059674939719,21
268,GHA,1992,0.00024149972017966636,1
269,HUN,1992,0.0015117516542216226,31
270,IRL,1992,0.002187393910398612,2
271,ISR,1992,0.032547306039569006,2
272,ITA,1992,0.0518836029261127,35
273,JAM,1992,0.0001282643167959261,4
274,JPN,1992,0.15646698146580024,30
275,KEN,1992,0.00031198152785646093,8
276,KOR,1992,0.013964638693939676,39
277,LTU,1992,0.032547306039569006,2
278,LUX,1992,0.0005993143252929175,2
279,MAR,1992,0.0013144391758127532,3
280,MEX,1992,0.014264681996897954,1
281,NAM,1992,0.00012409997817784858,2
282,NOR,1992,0.005132409159451478,27
283,NZL,1992,0.001626504391333631,13
284,PAK,1992,0.0019108992380646988,1
285,PER,1992,0.0014030902616728605,1
286,POL,1992,0.003697589552801155,21
287,PRK,1992,0.032547306039569006,11
288,QAT,1992,0.00028985183255194615,1
289,ROU,1992,0.0009767978212460791,19
290,SUR,1992,5.193147506036004e-06,1
291,SWE,1992,0.01116568469061238,18
292,THA,1992,0.004370391478755803,1
293,TUR,1992,0.006243547879549576,6
294,USA,1992,0.2562972184793574,128
295,AUS,1994,0.01267835139181496,1
296,AUT,1994,0.007990067911547152,9
297,BLR,1994,0.0005770417409626925,2
298,CAN,1994,0.022786356228456515,14
299,CHN,1994,0.022172250731008487,3
300,FIN,1994,0.004049912433800014,6
301,FRA,1994,0.05478544124414528,5
302,GBR,1994,0.04482086934402356,3
303,ITA,1994,0.04319846421535346,23
304,JPN,1994,0.19648732489511328,5
305,KAZ,1994,0.0008246374088730707,3
306,KOR,1994,0.0182137484823437,6
307,NOR,1994,0.004986701452887563,26
308,RUS,1994,0.015519406314546416,27
309,SWE,1994,0.008992383072226915,3
310,UKR,1994,0.002054963341543414,2
311,USA,1994,0.2864436909059655,13
312,UZB,1994,0.0004963424465757786,1
313,ARG,1996,0.010687239741742762,3
314,ARM,1996,5.2064050781496245e-05,2
315,AUS,1996,0.015765661045303594,51
316,AUT,1996,0.009315400646933888,3
317,AZE,1996,0.00011415422279566377,1
318,BDI,1996,2.344960615164654e-05,1
319,BEL,1996,0.010964434785608828,6
320,BLR,1996,0.0005693664626409702,15
321,BRA,1996,0.033418752970510404,19
322,CAN,1996,0.024777896616076257,24
323,CHN,1996,0.033942462936907745,58
324,CUB,1996,0.0009726979661442758,25
325,CZE,1996,0.0026382393748556427,13
326,ECU,1996,0.000980914522767273,1
327,ESP,1996,0.025248858408554526,20
328,ETH,1996,0.00032530018321659765,3
329,FIN,1996,0.0051831624300902514,4
330,FRA,1996,0.0631068681311275,41
331,GBR,1996,0.05579423420346979,18
332,GEO,1996,0.00011095211565407034,2
333,HKG,1996,0.006267660472438114,1
334,HUN,1996,0.001823400539639673,23
335,IND,1996,0.015433695461067858,1
336,IRL,1996,0.002968553319766832,4
337,ISR,1996,0.004490406534424013,1
338,ITA,1996,0.051579542737070834,38
339,JAM,1996,0.0002799356478183549,6
340,JPN,1996,0.19352318531855933,15
341,KAZ,1996,0.0008161688633786727,11
342,KEN,1996,0.0004628003554998525,8
343,KOR,1996,0.02397438245286866,32
344,LTU,1996,0.0003187976747347568,1
345,MAR,1996,0.0016859295363124353,2
346,MDA,1996,5.5922361965373227e-05,3
347,MEX,1996,0.01697701159125197,1
348,MOZ,1996,0.00014770996055325325,1
349,NAM,1996,0.00014609895975593997,2
350,NOR,1996,0.006417110596594325,8
351,NZL,1996,0.0027464590533399836,6
352,POL,1996,0.006286334577407387,17
353,PRK,1996,0.03879033734704189,5
354,ROU,1996,0.001441250396158163,23
355,RUS,1996,0.015387626206579914,63
356,SVK,1996,0.001086995666207049,3
357,SWE,1996,0.011457463894933234,10
358,SYR,1996,0.0024086151819795914,1
359,THA,1996,0.007184231958519714,2
360,TTO,1996,0.00021569071959227044,2
361,TUN,1996,0.0007592416338054048,1
362,TUR,1996,0.007122484161383817,6
363,UGA,1996,0.00022689567302733112,1
364,UKR,1996,0.0017408544939137465,25
365,USA,1996,0.3173361313773348,106
366,UZB,1996,0.0005376065522445006,2
367,AUS,1998,0.015700114803724546,1
368,AUT,1998,0.008568880530420944,17
369,BEL,1998,0.010151794894831721,1
370,BLR,1998,0.0005876257786123234,2
371,CAN,1998,0.02491123318058135,16
